from,to,affiliation
lohuis,SU,1
lohuis,TP,1
lohuis,EA,1
lohuis,USC,1
lohuis,N,2
todorova,RC,1
todorova,VC,1
todorova,B,2
todorova,CV,1
todorova,SP,1
timmerman,TP,1
timmerman,N,2
timmerman,AA,1
kohn,BSPS,1
kohn,D,2
kohn,VFBU,1
vandevyver,BE,2
vandevyver,RC,1
nowicka,P,2
nowicka,GBL,1
lee,USA,2
lee,PSU,1
dornheim,BSPS,1
dornheim,D,2
palleres,CVB,1
palleres,S,2
jasper,VCS,1
jasper,N,2
rivers,BA,1
rivers,USA,2
berger,BSPS,1
berger,D,2
koskelo,LPV,1
koskelo,F,2
grundt,BSPS,1
grundt,D,2